"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
3568,"2019-04-22 09:03:33.7210","2019-04-22 10:03:02.6670",188,"Sanford Hall",44.980831,-93.240282,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,988,"Subscriber",1998,2,"Classic"
223,"2019-04-22 09:35:15.0170","2019-04-22 09:38:58.4050",188,"Sanford Hall",44.980831,-93.240282,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,1215,"Subscriber",1997,1,"Classic"
563,"2019-04-22 09:37:10.0810","2019-04-22 09:46:33.8910",94,"Portland Ave & Washington Ave",44.978209822323755,-93.26023042201996,62,"Elliot Hall",44.97685,-93.23818,973,"Customer",1989,1,"Classic"
10159,"2019-04-22 09:50:10.6870","2019-04-22 12:39:29.8790",188,"Sanford Hall",44.980831,-93.240282,188,"Sanford Hall",44.980831,-93.240282,432,"Subscriber",1998,2,"Classic"
407,"2019-04-22 09:53:28.1690","2019-04-22 10:00:16.0340",94,"Portland Ave & Washington Ave",44.978209822323755,-93.26023042201996,95,"Gateway Park",44.9825943,-93.2675139,1048,"Customer",1983,2,"Classic"
5524,"2019-04-22 10:04:40.0880","2019-04-22 11:36:44.3560",188,"Sanford Hall",44.980831,-93.240282,117,"Central Ave NE & 22nd Ave NE",45.00994,-93.247114,407,"Customer",1985,1,"Classic"
1393,"2019-04-22 10:08:57.9930","2019-04-22 10:32:11.0280",35,"Oak Street Ramp",44.971931215806364,-93.22697639465332,35,"Oak Street Ramp",44.971931215806364,-93.22697639465332,646,"Subscriber",1999,1,"Classic"
419,"2019-04-22 10:53:25.5980","2019-04-22 11:00:24.6830",210,"Civil Engineering",44.976096,-93.231958,204,"SE 7th Street & 10th Ave SE",44.985576,-93.238743,2063,"Customer",1969,0,"Classic"
551,"2019-04-22 11:03:56.3200","2019-04-22 11:13:07.4960",190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,92,"6th Ave SE & University Ave",44.983281,-93.24812,1215,"Subscriber",1997,1,"Classic"
833,"2019-04-22 11:18:05.3070","2019-04-22 11:31:58.9930",191,"Park Ave & 4th Street S",44.97590736693741,-93.260061442852,184,"S 5th Street & Nicollet Mall",44.97866517955856,-93.270503282547,1707,"Customer",1984,2,"Classic"
317,"2019-04-22 12:18:45.0690","2019-04-22 12:24:02.4790",35,"Oak Street Ramp",44.971931215806364,-93.22697639465332,27,"Williamson Hall",44.977406,-93.234911,1892,"Subscriber",1999,1,"Classic"
319,"2019-04-22 12:49:48.3680","2019-04-22 12:55:08.0700",92,"6th Ave SE & University Ave",44.983281,-93.24812,27,"Williamson Hall",44.977406,-93.234911,1215,"Subscriber",1997,1,"Classic"
185,"2019-04-22 12:50:43.2650","2019-04-22 12:53:49.0120",192,"3rd Street N & 8th Ave N",44.987996,-93.279854,193,"5th Ave N & 4th Street N",44.98438983207127,-93.27736034989357,1698,"Subscriber",1988,1,"Classic"
