"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
488,"2018-11-01 19:46:18.0730","2018-11-01 19:54:26.9470",31,"Hennepin County Government Center",44.976602,-93.266701,95,"Gateway Park",44.9825943,-93.2675139,7,"Customer",1985,1,"Classic"
830,"2018-11-01 08:11:37.0460","2018-11-01 08:25:27.9850",42,"E Franklin Ave & Bloomington Ave S",44.96285416262351,-93.25219452381134,79,"27th Ave SE & University Ave",44.972599144972556,-93.21897804737091,8,"Customer",1969,0,"Classic"
477,"2018-11-01 16:39:39.0980","2018-11-01 16:47:36.7400",51,"Dupont Ave S & 22nd Street",44.96144162045103,-93.29303517937659,66,"28th Street & Nicollet Ave S",44.95188118173609,-93.27864915132523,10,"Subscriber",1995,1,"Classic"
490,"2018-11-01 18:19:02.9380","2018-11-01 18:27:13.6380",66,"28th Street & Nicollet Ave S",44.95188118173609,-93.27864915132523,51,"Dupont Ave S & 22nd Street",44.96144162045103,-93.29303517937659,10,"Subscriber",1995,1,"Classic"
226,"2018-11-04 13:51:13.9260","2018-11-04 13:55:00.1890",13,"North 2nd Street & 4th Ave N",44.986087,-93.272459,53,"2nd Ave N & N 6th Street",44.980536,-93.275626,11,"Customer",1976,1,"Classic"
287,"2018-11-04 18:04:56.2070","2018-11-04 18:09:43.3200",53,"2nd Ave N & N 6th Street",44.980536,-93.275626,13,"North 2nd Street & 4th Ave N",44.986087,-93.272459,11,"Customer",1976,1,"Classic"
1808,"2018-11-02 14:01:16.4540","2018-11-02 14:31:25.2310",66,"28th Street & Nicollet Ave S",44.95188118173609,-93.27864915132523,216,"W 50th Street & W Minnehaha Pkwy",44.912125,-93.298552,13,"Customer",1992,1,"Classic"
1777,"2018-11-01 15:59:40.2010","2018-11-01 16:29:17.6700",93,"Lake Calhoun Center",44.94846716687744,-93.3172944188118,93,"Lake Calhoun Center",44.94846716687744,-93.3172944188118,15,"Customer",1969,0,"Classic"
237,"2018-11-01 15:11:10.0730","2018-11-01 15:15:07.2360",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,16,"Customer",1969,0,"Classic"
5032,"2018-11-02 15:32:55.6220","2018-11-02 16:56:48.5850",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,16,"Customer",1969,0,"Classic"
1421,"2018-11-03 12:25:39.2520","2018-11-03 12:49:20.3440",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,16,"Customer",1969,0,"Classic"
1380,"2018-11-03 15:27:30.9250","2018-11-03 15:50:31.8350",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,16,"Customer",1969,0,"Classic"
266,"2018-11-01 18:33:07.3220","2018-11-01 18:37:34.1860",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,211,"15th Ave SE & SE 4th Street",44.97995059557327,-93.23478698730469,21,"Subscriber",1998,1,"Classic"
450,"2018-11-03 13:51:23.7790","2018-11-03 13:58:54.4380",204,"SE 7th Street & 10th Ave SE",44.985576,-93.238743,120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,21,"Customer",1986,1,"Classic"
363,"2018-11-03 17:46:32.3140","2018-11-03 17:52:35.6500",183,"Nicollet Island",44.985388,-93.26145,183,"Nicollet Island",44.985388,-93.26145,23,"Customer",1969,0,"Classic"
64922,"2018-11-02 16:25:22.2840","2018-11-03 10:27:25.2700",17,"Washington & Cedar",44.97344,-93.24748,2,"100 Main Street SE",44.984892,-93.256551,24,"Customer",1969,0,"Classic"
357,"2018-11-01 09:17:52.5550","2018-11-01 09:23:49.8170",193,"5th Ave N & 4th Street N",44.98438983207127,-93.27736034989357,43,"Nicollet Mall & 10th Street",44.973839,-93.274544,25,"Customer",1992,1,"Classic"
374,"2018-11-02 07:46:44.4940","2018-11-02 07:52:58.7660",43,"Nicollet Mall & 10th Street",44.973839,-93.274544,102,"West 15th Street & Willow",44.968237,-93.281991,25,"Customer",1972,1,"Classic"
1557,"2018-11-02 11:37:30.0610","2018-11-02 12:03:27.9080",102,"West 15th Street & Willow",44.968237,-93.281991,92,"6th Ave SE & University Ave",44.983281,-93.24812,25,"Customer",1996,2,"Classic"
1547,"2018-11-02 16:19:51.7720","2018-11-02 16:45:39.7580",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,26,"Customer",1953,1,"Classic"
